"행정구역","2020년_전년인구수_남자인구수","2020년_전년인구수_여자인구수","2020년_전년인구수_계","2020년_당년인구수_남자인구수","2020년_당년인구수_여자인구수","2020년_당년인구수_계","2020년_인구증감_남자인구수","2020년_인구증감_여자인구수","2020년_인구증감_계","2021년_전년인구수_남자인구수","2021년_전년인구수_여자인구수","2021년_전년인구수_계","2021년_당년인구수_남자인구수","2021년_당년인구수_여자인구수","2021년_당년인구수_계","2021년_인구증감_남자인구수","2021년_인구증감_여자인구수","2021년_인구증감_계","2022년_전년인구수_남자인구수","2022년_전년인구수_여자인구수","2022년_전년인구수_계","2022년_당년인구수_남자인구수","2022년_당년인구수_여자인구수","2022년_당년인구수_계","2022년_인구증감_남자인구수","2022년_인구증감_여자인구수","2022년_인구증감_계","2023년_전년인구수_남자인구수","2023년_전년인구수_여자인구수","2023년_전년인구수_계","2023년_당년인구수_남자인구수","2023년_당년인구수_여자인구수","2023년_당년인구수_계","2023년_인구증감_남자인구수","2023년_인구증감_여자인구수","2023년_인구증감_계","2024년_전년인구수_남자인구수","2024년_전년인구수_여자인구수","2024년_전년인구수_계","2024년_당년인구수_남자인구수","2024년_당년인구수_여자인구수","2024년_당년인구수_계","2024년_인구증감_남자인구수","2024년_인구증감_여자인구수","2024년_인구증감_계","2025년_전년인구수_남자인구수","2025년_전년인구수_여자인구수","2025년_전년인구수_계","2025년_당년인구수_남자인구수","2025년_당년인구수_여자인구수","2025년_당년인구수_계","2025년_인구증감_남자인구수","2025년_인구증감_여자인구수","2025년_인구증감_계"
"경기도 용인시 기흥구 상하동(4146358600)","12,151","12,723","24,874","12,220","12,750","24,970","69","27","96","12,220","12,750","24,970","11,937","12,598","24,535","-283","-152","-435","11,937","12,598","24,535","11,648","12,336","23,984","-289","-262","-551","11,648","12,336","23,984","11,467","12,153","23,620","-181","-183","-364","11,467","12,153","23,620","11,261","11,968","23,229","-206","-185","-391","11,261","11,968","23,229","11,079","11,909","22,988","-182","-59","-241"
"경기도 용인시 기흥구 보정동(4146359000)","17,627","18,411","36,038","17,998","18,615","36,613","371","204","575","17,998","18,615","36,613","17,762","18,451","36,213","-236","-164","-400","17,762","18,451","36,213","17,521","18,183","35,704","-241","-268","-509","17,521","18,183","35,704","17,271","18,055","35,326","-250","-128","-378","17,271","18,055","35,326","16,849","17,608","34,457","-422","-447","-869","16,849","17,608","34,457","17,577","18,370","35,947","728","762","1,490"
"경기도 용인시 수지구 (4146500000)","180,116","188,918","369,034","183,210","192,633","375,843","3,094","3,715","6,809","183,210","192,633","375,843","182,957","192,611","375,568","-253","-22","-275","182,957","192,611","375,568","184,030","193,418","377,448","1,073","807","1,880","184,030","193,418","377,448","183,880","193,542","377,422","-150","124","-26","183,880","193,542","377,422","182,639","192,712","375,351","-1,241","-830","-2,071","182,639","192,712","375,351","181,920","192,174","374,094","-719","-538","-1,257"
"경기도 용인시 수지구 풍덕천1동(4146551000)","18,005","18,002","36,007","18,307","18,455","36,762","302","453","755","18,307","18,455","36,762","18,038","18,151","36,189","-269","-304","-573","18,038","18,151","36,189","17,850","17,818","35,668","-188","-333","-521","17,850","17,818","35,668","17,627","17,562","35,189","-223","-256","-479","17,627","17,562","35,189","17,359","17,438","34,797","-268","-124","-392","17,359","17,438","34,797","17,284","17,315","34,599","-75","-123","-198"
"경기도 용인시 수지구 풍덕천2동(4146552000)","20,605","21,465","42,070","20,442","21,238","41,680","-163","-227","-390","20,442","21,238","41,680","20,175","20,828","41,003","-267","-410","-677","20,175","20,828","41,003","20,336","21,118","41,454","161","290","451","20,336","21,118","41,454","20,362","21,088","41,450","26","-30","-4","20,362","21,088","41,450","20,351","20,969","41,320","-11","-119","-130","20,351","20,969","41,320","20,287","20,932","41,219","-64","-37","-101"
"경기도 용인시 수지구 신봉동(4146553000)","18,438","19,477","37,915","18,543","19,629","38,172","105","152","257","18,543","19,629","38,172","18,310","19,517","37,827","-233","-112","-345","18,310","19,517","37,827","19,744","21,072","40,816","1,434","1,555","2,989","19,744","21,072","40,816","19,928","21,389","41,317","184","317","501","19,928","21,389","41,317","19,858","21,390","41,248","-70","1","-69","19,858","21,390","41,248","19,846","21,219","41,065","-12","-171","-183"
"경기도 용인시 수지구 죽전1동(4146554000)","27,705","29,451","57,156","27,442","29,440","56,882","-263","-11","-274","27,442","29,440","56,882","14,105","15,063","29,168","-13,337","-14,377","-27,714","14,105","15,063","29,168","13,884","14,789","28,673","-221","-274","-495","13,884","14,789","28,673","13,733","14,700","28,433","-151","-89","-240","13,733","14,700","28,433","13,584","14,578","28,162","-149","-122","-271","13,584","14,578","28,162","13,999","14,970","28,969","415","392","807"
"경기도 용인시 수지구 죽전2동(4146555000)","9,241","9,444","18,685","9,151","9,382","18,533","-90","-62","-152","9,151","9,382","18,533","9,107","9,280","18,387","-44","-102","-146","9,107","9,280","18,387","9,050","9,128","18,178","-57","-152","-209","9,050","9,128","18,178","8,927","9,076","18,003","-123","-52","-175","8,927","9,076","18,003","8,760","9,045","17,805","-167","-31","-198","8,760","9,045","17,805","8,320","8,790","17,110","-440","-255","-695"
"경기도 용인시 수지구 죽전3동(4146555500)","0","0","0","0","0","0","0","0","0","0","0","0","13,007","14,056","27,063","13,007","14,056","27,063","13,007","14,056","27,063","12,924","13,793","26,717","-83","-263","-346","12,924","13,793","26,717","12,906","13,678","26,584","-18","-115","-133","12,906","13,678","26,584","12,835","13,606","26,441","-71","-72","-143","12,835","13,606","26,441","12,765","13,529","26,294","-70","-77","-147"
"경기도 용인시 수지구 동천동(4146556000)","22,613","23,329","45,942","24,413","25,108","49,521","1,800","1,779","3,579","24,413","25,108","49,521","24,478","25,245","49,723","65","137","202","24,478","25,245","49,723","24,947","25,695","50,642","469","450","919","24,947","25,695","50,642","24,984","25,809","50,793","37","114","151","24,984","25,809","50,793","24,816","25,781","50,597","-168","-28","-196","24,816","25,781","50,597","24,887","25,900","50,787","71","119","190"
"경기도 용인시 수지구 상현1동(4146557000)","23,736","25,173","48,909","23,535","25,114","48,649","-201","-59","-260","23,535","25,114","48,649","9,775","10,647","20,422","-13,760","-14,467","-28,227","9,775","10,647","20,422","9,635","10,481","20,116","-140","-166","-306","9,635","10,481","20,116","9,649","10,439","20,088","14","-42","-28","9,649","10,439","20,088","9,597","10,363","19,960","-52","-76","-128","9,597","10,363","19,960","9,413","10,327","19,740","-184","-36","-220"
"경기도 용인시 수지구 상현2동(4146558000)","16,626","17,515","34,141","16,604","17,488","34,092","-22","-27","-49","16,604","17,488","34,092","16,158","17,129","33,287","-446","-359","-805","16,158","17,129","33,287","15,968","16,954","32,922","-190","-175","-365","15,968","16,954","32,922","16,032","17,078","33,110","64","124","188","16,032","17,078","33,110","15,918","16,956","32,874","-114","-122","-236","15,918","16,956","32,874","15,811","16,848","32,659","-107","-108","-215"
"경기도 용인시 수지구 상현3동(4146558500)","0","0","0","0","0","0","0","0","0","0","0","0","13,488","14,407","27,895","13,488","14,407","27,895","13,488","14,407","27,895","13,374","14,323","27,697","-114","-84","-198","13,374","14,323","27,697","13,408","14,351","27,759","34","28","62","13,408","14,351","27,759","13,241","14,239","27,480","-167","-112","-279","13,241","14,239","27,480","13,133","14,098","27,231","-108","-141","-249"
"경기도 용인시 수지구 성복동(4146559000)","23,147","25,062","48,209","24,773","26,779","51,552","1,626","1,717","3,343","24,773","26,779","51,552","26,316","28,288","54,604","1,543","1,509","3,052","26,316","28,288","54,604","26,318","28,247","54,565","2","-41","-39","26,318","28,247","54,565","26,324","28,372","54,696","6","125","131","26,324","28,372","54,696","26,320","28,347","54,667","-4","-25","-29","26,320","28,347","54,667","26,175","28,246","54,421","-145","-101","-246"
